UNIQUE CODE (1974),STATE (1974),PARLIAMENTARY CONSTITUENCY CODE (1974),PARLIAMENTARY CONSTITUENCY NAME (1974),UNIQUE CODE (1977),PARLIAMENTARY CONSTITUENCY CODE (1977),PARLIAMENTARY CONSTITUENCY NAME (1977),PARLIAMENTARY NAME CHANGE,NOTES
P.131,SARAWAK,P.131,BAU - LUNDU,P.131,P.131,MAS GADING,YES,Boundary changed
P.132,SARAWAK,P.132,BANDAR KUCHING,P.132,P.132,BANDAR KUCHING,,Boundary changed
P.133,SARAWAK,P.133,SANTUBONG,P.133,P.133,SANTUBONG,,Boundary changed
P.134,SARAWAK,P.134,SAMARAHAN,P.134,P.134,SAMARAHAN,,Boundary changed
P.135,SARAWAK,P.135,PADAWAN,P.135,P.135,PADAWAN,,Boundary changed
P.136,SARAWAK,P.136,SERIAN,P.136,P.136,SERIAN,,Boundary changed
P.137,SARAWAK,P.137,SIMUNJAN,P.137,P.137,SIMUNJAN,,Boundary changed
P.138,SARAWAK,P.138,BATANG LUPAR,P.138,P.138,BATANG LUPAR,,
P.139,SARAWAK,P.139,LUBOK ANTU,P.139,P.139,LUBOK ANTU,,
P.140,SARAWAK,P.140,BETONG,P.140,P.140,BETONG,,
P.141,SARAWAK,P.141,SARATOK,P.141,P.141,SARATOK,,
P.142,SARAWAK,P.142,SARIKEI,P.142,P.143,SARIKEI,,Constituency Code Changed. Boundary changed
P.143,SARAWAK,P.143,PAYANG,P.143,P.142,PALOH,YES,Constituency Code Changed. Boundary changed
P.144,SARAWAK,P.144,BANDAR SIBU,P.144,P.144,SIBU,YES,Boundary changed
P.145,SARAWAK,P.145,RAJANG,P.145,P.145,RAJANG,,Boundary changed
P.146,SARAWAK,P.146,MUKAH,P.146,P.146,MUKAH,,Boundary changed
P.147,SARAWAK,P.147,JULAU,P.147,P.147,JULAU,,
P.148,SARAWAK,P.148,KANOWIT,P.148,P.148,KANOWIT,,
P.149,SARAWAK,P.149,KAPIT,P.149,P.149,KAPIT,,Boundary changed
P.150,SARAWAK,P.150,ULU RAJANG,P.150,P.150,ULU RAJANG,,
P.151,SARAWAK,P.151,BINTULU,P.151,P.151,BINTULU,,
P.152,SARAWAK,P.152,MIRI - SUBIS,P.152,P.152,LAMBIR,YES,
P.153,SARAWAK,P.153,BARAM,P.153,P.153,BARAM,,
P.154,SARAWAK,P.154,LIMBANG - LAWAS,P.154,P.154,BUKIT MAS,YES,
