UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,AREA (SQ KM),NOTES
P. 1_S. 1,PERLIS,P. 1,PERLIS UTARA,S. 1,KAKI BUKIT,267.65,Computed using Tindak Malaysia's electoral boundary files
P. 1_S. 2,PERLIS,P. 1,PERLIS UTARA,S. 2,PAYA,27.81,Computed using Tindak Malaysia's electoral boundary files
P. 1_S. 3,PERLIS,P. 1,PERLIS UTARA,S. 3,MATA AYER,103.58,Computed using Tindak Malaysia's electoral boundary files
P. 1_S. 4,PERLIS,P. 1,PERLIS UTARA,S. 4,BANDAR KANGAR,5.54,Computed using Tindak Malaysia's electoral boundary files
P. 1_S. 5,PERLIS,P. 1,PERLIS UTARA,S. 5,SENA,27.77,Computed using Tindak Malaysia's electoral boundary files
P. 1_S. 6,PERLIS,P. 1,PERLIS UTARA,S. 6,BINTONG,70.13,Computed using Tindak Malaysia's electoral boundary files
P. 2_S. 7,PERLIS,P. 2,PERLIS SELATAN,S. 7,KURONG ANAI,119.95,Computed using Tindak Malaysia's electoral boundary files
P. 2_S. 8,PERLIS,P. 2,PERLIS SELATAN,S. 8,ARAU,42.09,Computed using Tindak Malaysia's electoral boundary files
P. 2_S. 9,PERLIS,P. 2,PERLIS SELATAN,S. 9,HUTAN AJI,39.96,Computed using Tindak Malaysia's electoral boundary files
P. 2_S. 10,PERLIS,P. 2,PERLIS SELATAN,S. 10,KAYANG,40.97,Computed using Tindak Malaysia's electoral boundary files
P. 2_S. 11,PERLIS,P. 2,PERLIS SELATAN,S. 11,KUALA PERLIS,26.80,Computed using Tindak Malaysia's electoral boundary files
P. 2_S. 12,PERLIS,P. 2,PERLIS SELATAN,S. 12,SANGLANG,48.15,Computed using Tindak Malaysia's electoral boundary files
P. 3_S. 1,KEDAH,P. 3,JITRA - PADANG TERAP,S. 1,JITRA,569.89,Computed using Tindak Malaysia's electoral boundary files
P. 3_S. 2,KEDAH,P. 3,JITRA - PADANG TERAP,S. 2,PADANG TERAP,1438.80,Computed using Tindak Malaysia's electoral boundary files
P. 4_S. 3,KEDAH,P. 4,KUBANG PASU BARAT,S. 3,JERLUN KODIANG,137.00,Computed using Tindak Malaysia's electoral boundary files
P. 4_S. 4,KEDAH,P. 4,KUBANG PASU BARAT,S. 4,TUNJANG,162.01,Computed using Tindak Malaysia's electoral boundary files
P. 5_S. 5,KEDAH,P. 5,KOTA STAR UTARA,S. 5,LANGGAR - LIMBONG,158.55,Computed using Tindak Malaysia's electoral boundary files
P. 5_S. 6,KEDAH,P. 5,KOTA STAR UTARA,S. 6,POKOK SENA,299.30,Computed using Tindak Malaysia's electoral boundary files
P. 6_S. 7,KEDAH,P. 6,ALOR STAR,S. 7,ALOR STAR PEKAN,7.28,Computed using Tindak Malaysia's electoral boundary files
P. 6_S. 8,KEDAH,P. 6,ALOR STAR,S. 8,ALOR STAR LUAR,77.15,Computed using Tindak Malaysia's electoral boundary files
P. 7_S. 9,KEDAH,P. 7,KUALA KEDAH,S. 9,LANGKAWI,504.71,Computed using Tindak Malaysia's electoral boundary files
P. 7_S. 10,KEDAH,P. 7,KUALA KEDAH,S. 10,KOTA STAR BARAT,141.89,Computed using Tindak Malaysia's electoral boundary files
P. 8_S. 11,KEDAH,P. 8,KOTA STAR SELATAN,S. 11,KANGKONG BUKIT RAYA,141.26,Computed using Tindak Malaysia's electoral boundary files
P. 8_S. 12,KEDAH,P. 8,KOTA STAR SELATAN,S. 12,PADANG,441.77,Computed using Tindak Malaysia's electoral boundary files
P. 9_S. 13,KEDAH,P. 9,KEDAH TENGAH,S. 13,SIK - GURUN,1754.29,Computed using Tindak Malaysia's electoral boundary files
P. 9_S. 14,KEDAH,P. 9,KEDAH TENGAH,S. 14,KOTA,216.82,Computed using Tindak Malaysia's electoral boundary files
P. 10_S. 15,KEDAH,P. 10,JERAI,S. 15,SALA,159.41,Computed using Tindak Malaysia's electoral boundary files
P. 10_S. 16,KEDAH,P. 10,JERAI,S. 16,YEN-MERBOK,203.06,Computed using Tindak Malaysia's electoral boundary files
P. 11_S. 17,KEDAH,P. 11,BALING,S. 17,BALING TIMOR,815.06,Computed using Tindak Malaysia's electoral boundary files
P. 11_S. 18,KEDAH,P. 11,BALING,S. 18,BALING BARAT,446.04,Computed using Tindak Malaysia's electoral boundary files
P. 12_S. 19,KEDAH,P. 12,SUNGEI PATANI,S. 19,PEKAN SUNGEI PATANI,34.18,Computed using Tindak Malaysia's electoral boundary files
